business_phone_number,description,career_page,organization_type,geographical_area,company_type,business_website_address,year_founded,headquarters,size_range,address,organization
 (858) 523 1677      ,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.multigen-diagnostics.com,,"San Diego, California",,,Multigen Diagnostics
(858) 356-5972,    ,http://www.mandalabio.com/careers.html,Privately Held,Greater San Diego Area,Research Products,http://www.mandalabio.com,2008,"La Jolla, California", 1-10,,Mandala Biosciences
(858) 452-5765,    ,,Privately held,Greater San Diego Area,Green technology,http://www.kentbioenergy.com/,,"San Diego, California", 11-50,,Kent BioEnergy
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.microstem.com,2009,Coronado, 1-10,,Microstem
760-931-9200,    ,http://www.isispharm.com/About-Isis/Careers/Available-Positions.htm,Public Company,Greater San Diego Area,Therapeutics,http://www.isispharm.com,1989,"Carlsbad, California",201-500,,Isis Pharmaceuticals
(858) 230 8939,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.neurolixis.com,2011,"San Diego, California", 1-10,,"Neurolixis, Inc."
855.662.6732,    ,,Public Company,Greater San Diego Area,Therapeutics,http://oncosec.com,2011,"San Diego, California", 11-50,,OncoSec Medical Inc.
,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services,Software",http://www.pipette.com,1996,"San Diego, California", 11-50,,Pipette.com/Accutek Lab
(858) 625 2424,    ,http://www.pacira.com/careers-opportunities.php,Public Company,Greater San Diego Area,Research Products,http://www.pacira.com,2007,NJ,201-500,,Pacira Pharmaceuticals
,,,,Greater San Diego Area,"Diagnostics,Therapeutics",http://www.prometheuslabs.com,,"Lutry, Switzerland",201-500,,Prometheus Labs
(760) 789-9738,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.pacificimmunology.com/,2003,"Ramona, California", 11-50,,Pacific Immunology
(858) 550-4094,    ,,Privately Held,Greater San Diego Area,Drug Development,http://www.pacificgmp.com,2005,"San Diego, California", 11-50,,Pacific GMP
,    ,http://www.otonomy.com/about_careers.html,Privately Held,Greater San Diego Area,Therapeutics,http://www.otonomy.com,2008,"San Diego, California", 11-50,,Otonomy
 858.558.8298,    ,,Acquired by Cubist,Greater San Diego Area,Therapeutics,http://www.optimerpharma.com,,"Lexington, MA",501-1000,,Optimer Pharma
,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.orexigen.com,,"San Diego, California", 11-50,,Orexigen Therapeutics
760-659-5943,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.oycus.com,,China, 1-10,,"OYC Americas, Inc."
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.qdusa.com,1992,"San Diego, California",201-500,,Quantum Design USA
858 622 1958 ,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.oranoxis.com,2006,"San Diego, California", 11-50,,"Oranoxis, Inc."
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.quanticel.com,2011,San Francisco, 1-10,,Quanticel Pharmaceuticals
 858.618.4708,    ,,Privately Held,Greater San Diego Area,Clinical Services,http://www.quadscience.com,,"San Diego, California", 1-10,,Quadrants Scientific
800-929-2114 ,    ,http://www.qedbio.com/Articles.asp?ID=175,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.qedbio.com,,"San Diego, California",,,QED Bioscience
(760) 929-9508,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.puracyp.com/,1999,"Carlsbad, California", 1-10,,"Puracyp, Inc."
(619) 596-8600,    ,,Privately Held,Greater San Diego Area,Medical Products,http://www.purebio.com/,1992,"San Diego, California", 11-50,,Pure Bioscience
,    ,,Public Company,Greater San Diego Area,Medical Devices,http://qualcommlife.com,,"San Diego, California",,,Qualcomm Life
,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.provericorp.com,2004,"San Diego, California", 1-10,,Proveri Inc.
,    ,,Privately Held,Greater San Diego Area,Media,http://www.proteinlounge.com/,2003,"San Diego, California", 11-50,,Protein Lounge
,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.prosci-inc.com,1998,"San Diego, California", 11-50,,ProSci Inc
 858.459.2428,    ,,,Greater San Diego Area,Research Services,http://www.prognosysbio.com,,"San Diego, California",,,Prognosys Biosciences
(855) 695-5227,    ,,Privately Held,Greater San Diego Area,Research Products,http://oneworldlab.com/,,"San Diego, California",,,One World Labs
,    ,http://www.proacta.com/careers/,Privately Held,Greater San Diego Area,Therapeutics,http://www.proacta.com,2004,"San Diego, California", 1-10,,Proacta
858-207-6172,"R&D services such as recombinant protein expression & purification, cell culture, and fermentation..",,Privately Held,Greater San Diego Area,Research Services,http://www.ooxesis.com,2013,San Diego County,1-10,,oOxesis Biotech
 858-999-4005,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.primcells.com/,2012,"San Diego, California", 11-50,,PrimCells LLC
,    ,,Privately Held,Greater San Diego Area,Software,http://portablegenomics.wordpress.com/,2013,"La Jolla, California", 1-10,,Portable Genomics
 (858) 847-0117,    ,,Privately Held,Greater San Diego Area,Clinical Services,http://www.precisionmed.com,1994,"San Diego, California",51-200,,"PrecisionMed, Inc."
1-858-909-5743 ,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.prescos.com,2008,"San Diego, California", 1-10,,PRESCOS LLC
,    ,,Privately Held,Greater San Diego Area,Medical Devices,http://www.philometron.com,2001,"San Diego, California", 1-10,,Philometron
,    ,http://www.polypeptide.com/jobs/,Privately Held,Greater San Diego Area,Drug Development,http://www.polypeptide.com,,Denmark,201-500,,PolyPeptide Group
,,http://www.pharmatek.com/careers.html,Privately Held,Greater San Diego Area,"Drug Development,Research Services",http://www.pharmatek.com,1999,"San Diego, California",51-200,,Pharmatek
858-752-6001,    ,,Privately Held,Greater San Diego Area,"Therapeutics,Vaccine Development",http://www.polynoma.com,,"San Diego, California",,,Polynoma
 (858) 450-9595,    ,,Privately Held,Greater San Diego Area,Vaccine Development,http://www.paxvax.com,2007,"San Diego, California", 11-50,,Paxvax
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.polarispharma.com,2006,"San Diego, California", 11-50,,Polaris Pharmaceuticals
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.pharmakea.com/,2013,"San Diego, California", 1-10,,PharmAkea
(858) 427-9100,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.phagepharma.com/,,"San Diego, California", 11-50,,"Phage Pharmaceuticals, Inc."
(877) 505-7374,    ,,Privately Held,Greater San Diego Area,Clinical Services,https://www.pathway.com/,2008,"San Diego, California",51-200,,Pathway Genomics
(858) 622-3000,    ,http://pfizercareers.com/,Public Company,Greater San Diego Area,Therapeutics,http://pfizer.com,1848,"New York, NY",10001+,,Pfizer
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.neurogeneticpharmaceuticals.com,2009,"Del Mar, California",,,Neurogenetic Pharmaceuticals
(858) 227-9233,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://nazurabio.com,2013,"San Diego, California", 1-10,,NaZura BioHealth Inc.
 858/617-7600,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.neurocrine.com,1996,"San Diego, California",51-200,,Neurocrine
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.panmira.com,2011,"San Diego, California",,,Panmira
(858) 622-3000,    ,http://pfizercareers.com/,Public Company,Greater San Diego Area,Therapeutics,http://www.pfizer.com/,1848,"New York, NY","10,001+",,Pfizer
,    ,,Privately Held,Greater San Diego Area,Medical Devices,http://www.naviscan.com,1995,"San Diego, California", 11-50,,Naviscan
,    ,,Privately Held,Greater San Diego Area,Food Industry,http://www.naturegen.com,,"San Diego, California",,,Naturegen
,    ,,Privately Held,Greater San Diego Area,Research Products,http://nanocellect.com,2009,"San Diego, California", 1-10,,NanoCellect BioMedical
,    ,,Privately Held,Greater San Diego Area,Research Products,http://nacalaiusa.com,2005,Japan,,,Nacalai Usa
888 675.8261,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.nanoimagingservices.com,,"San Diego, California", 1-10,,"NanoImaging Services, Inc."
,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.microconstants.com,1998,"San Diego, California",51-200,,Microconstants
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.meritagepharma.com,2008,"San Diego, California",,,Meritage Pharmaceuticals
,    ,,public company,Greater San Diego Area,Therapeutics,http://www.meipharma.com,2000,"San Diego, California", 11-50,,MEI Phama
,    ,,Privately Held,Greater San Diego Area,"Research Services,Software",http://www.natural-selection.com,1993,"San Diego, California",,,Natural Selection
858 675 9990,    ,,Privately Held,Greater San Diego Area,Biotechnology,http://menon.us,2000,"San Diego, California", 11-50,,"Menon International, Inc."
,    ,http://www.medincell.com/contact/careers,Privately Held,Greater San Diego Area,Drug Development,http://www.medincell.com,2002,France, 1-10,,Medincell
(858) 373-1500,    ,http://www.medicinova.com/html/company_careers.html,Public Company,Greater San Diego Area,Therapeutics,http://www.medicinova.com,,"San Diego, California", 11-50,,Medicinova
(858) 552-0866 ,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.mastTherapeutics.com,,"San Diego, California", 11-50,,"Mast Therapeutics, Inc."
,    ,,Privately Held,Greater San Diego Area,Medical Devices,http://www.medipacs.com,,"San Diego, California", 1-10,,"Medipacs, Inc."
,    ,http://www.invivoscribe.com/pages/careers,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.invivoscribe.com,1995,"San Diego, California", 11-50,,Invivoscribe
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.invivogen.com,1998,"San Diego, California",51-200,,Invivogen
,    ,,Privately Held,Greater San Diego Area,Drug Development,http://irisys.com,1996,"San Diego, California", 11-50,,Irisys
858-642-0998,    ,http://www.ionian-tech.com/careers.php?secondary_topic=careers&secondary_page=careers,Privately Held,Greater San Diego Area,Research Products,http://www.ionian-tech.com,2000,"San Diego, California", 11-50,,Ionian Technologies
,    ,,Public Company,Greater San Diego Area,Biotechnology,http://www.invetech.com.au,1987,Australia,201-500,,Invetech
1-800-472-5605,    ,,Privately Held,Greater San Diego Area,Medical Products,http://www.medeffect360.com,2012,"Carlsbad, California", 1-10,,Med Effect Inc
858-459-1758,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.intrinsiclifesciences.com,,"La Jolla, California", 1-10,,Intrinsic Life Sciences
858-652-6800,    ,,Public Company,Greater San Diego Area,Drug Development,http://www.interceptpharma.com,,"New York, NY", 11-50,,Intercept Pharma
(858) 909-5200,    ,http://intellisis.com/jobs.php,Privately Held,Greater San Diego Area,Software,http://intellisis.com,2005,"San Diego, California", 1-10,,Intellisis
 1-760-940-6383,    ,,Public Company,Greater San Diego Area,Research Products,http://www.internationalstemcell.com,,"San Diego, California", 11-50,,International Stem Cell
1.760.607.5151,    ,,Privately Held,Greater San Diego Area,Medical Devices,http://www.obalon.com/,2008,"Carlsbad, California",,,Obalan Therapeutics
858-436-3900,    ,http://www.ocerainc.com/careers,,Greater San Diego Area,Therapeutics,http://www.ocerainc.com,,"San diego, California and Durham, NC", 11-50,,Ocera Therapeutics
,    ,http://nucelis.com/careers.php,Privately Held,Greater San Diego Area,Biotechnology,http://nucelis.com,2010,"San Diego, California", 11-50,,Nucelis
,    ,http://novarx.com/new/career.php,Privately Held,Greater San Diego Area,Therapeutics,http://www.novarx.com,1997,"San Diego, California", 11-50,,NovaRx
,    ,http://www.nuvasive.com/careers/,Public Company,Greater San Diego Area,Medical Devices,http://www.nuvasive.com,1997,"San Diego, California",1001-5000,,Nuvasive
,    ,,Privately Held,Greater San Diego Area,Medical Devices,http://www.neurovigil.com,,"San Diego, California",,,Neurovigil
(619) 579-0077,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.novabiotech.com/,1995,"San Diego, California", 1-10,,Nova Biotech
858.622.2900,    ,http://molecularresponse.com/about/careers/,Privately Held,Greater San Diego Area,Research Services,http://molecularresponse.com,2011,"San Diego, California", 11-50,,Molecular Response
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.neurotransit.com/,,"San Diego, California", 1-10,,"NeuroTransit, Inc."
858 -558 -3702,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.monseratebiotech.com,,"San Diego, California",,,Monserate Biotech
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.mobio.com,1993,"Carlsbad, California", 11-50,,"MO BIO Laboratories, Inc."
(858) 450-9990,    ,http://www.mds-usa.com/careers.html,Privately Held,Greater San Diego Area,Diagnostics,http://www.mds-usa.com,1992,"San Diego, California",,,Molecular Diagnostic Services
,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://misfolddx.com,,"San Diego, California", 1-10,,Misfolding Diagnostics
800 FOR MACS,    ,,,Greater San Diego Area,Research Products,https://www.miltenyibiotec.com,1989,Germany,,,Miltenyi Biotec
858.332.3410,    ,http://mirati.com/about-myg/careers,Public Company,Greater San Diego Area,Therapeutics,http://mirati.com/,2013,San Diego California and Montreal Canada,,,Mirati Therapeutics
858.431.9548,    ,,Privately Held,Greater San Diego Area,Research Services,http://molecularthroughput.com,,"San Diego, California", 1-10,,Molecular Throughput
858-531-6273,    ,http://www.maderabiosciences.com/careers.html,Privately Held,Greater San Diego Area,Therapeutics,http://www.maderabiosciences.com/,2008,Rancho Santa Fe, 1-10,,Madera Biosciences
,    ,http://magnabiosciences.com/careers.html,,Greater San Diego Area,Research Products,http://magnabiosciences.com,2000,"San Diego, California",,,Magna Biosciences
877.451.3534,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://millenniumlabs.com/,2007,"San Diego, California",1001-5000,,Millennium Laboratories
(858) 550-1441,    ,,Privately Held,Greater San Diego Area,Drug Development,http://mabprex.com/,2009,"San Diego, California", 1-10,,MabPrex
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.lumenapharma.com,,"San Diego, California",,,"Lumena Pharmaceuticals, Inc."
,    ,,Public Company,Greater San Diego Area,Medical Devices,http://www.lmana.com,1998,(Owned by Teleflex),51-200,,"LMA North America, Inc."
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.mabvax.com,,"San Diego, California", 1-10,,MabVax
,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.lpath.com,,"San Diego, California",,,Lpath
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.lithera.com,,"San Diego, California",,,Lithera
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.kalypsys.com,,"Solana Beach, California",51-200,,Kalypsys
858.552.6890,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.kalostpx.com,,"San Diego, California", 1-10,,Kalos Therapeutics
(858) 792-6468,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.jajinternational.com/,1998,"San Diego, California", 11-50,,"JAJ International, Inc."
,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.janssenrnd.com,,(Part of Johnson & Johnson),10000+,,Janssen Labs
,    ,,Privately Held,Greater San Diego Area,Research Products,http://jadenbio.com,2005,"San Diego, California", 1-10,,Jadenbio
858-456-1760,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.jadebio.com,,"San Diego, California", 1-10,,"Jade Bio, Inc."
,    ,,Privately Held,Greater San Diego Area,Software,http://www.kelaroo.com,2000,"San Diego, California", 1-10,,Kelaroo
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.jaleva.com,,"San Diego, California", 1-10,,"Jaleva Pharmaceuticals, LLC"
,    ,,,Greater San Diego Area,Research Institute,http://www.jcvi.org,,"Rockville, MD",,,J. Craig Venter Institute
,    ,,Privately Held,Greater San Diego Area,Diagnostics,http://www.ignyta.com,2011,"San Diego, California", 1-10,,"Ignyta, Inc."
(858) 550-2022,    ,,Privately Held,Greater San Diego Area,Medical Devices,http://www.ichorms.com,1994,"San Diego, California", 1-10,,Ichor Medical Systems
858.755.2820,    ,,Privately Held,Greater San Diego Area,Green technology,http://www.idiverse.com,2004,"San Diego, California", 1-10,,Idiverse
858.798.8800,    ,,Privately Held,Greater San Diego Area,Drug Development,http://www.huyabio.com,2005,"San Diego, Shanghai",51-200,,HUYA Bioscience International
,    ,,Nonprofit,Greater San Diego Area,Research Institute,http://www.hbri.org,1997,"San Diego, California",,,Human Biomedical Research Institute
(858) 455-9880,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://icbii.com/,2008,"La Jolla, California", 1-10,,"ICB International, Inc."
(858) 410-8000,    ,,Public Company,Greater San Diego Area,Diagnostics,http://gen-probe.com,1986,"Owned by Hologic: Bedford, MA",1001-5000,,Hologic Gen-Probe
,    ,,Privately Held,Greater San Diego Area,Research Products,http://legenebiosciences.com,2011,"San Diego, California", 1-10,,Legene Biosciences
858-200-9520,    ,http://www.histogen.com/aboutus/careers.htm,Privately Held,Greater San Diego Area,Therapeutics,http://www.histogen.com,2007,"San Diego, California", 11-50,,Histogen
(858) 207-4264,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://ljpc.com/,1989,"San Diego, California", 1-10,,La Jolla Pharmaceutical Company
,    ,,Nonprofit,Greater San Diego Area,Therapeutics,http://www.liai.org,1988,"La Jolla, California",201-500,,La Jolla Institute for Allergy and Immunology
(858) 356-5590,    ,http://www.hemaquest.com/careers/careers.asp,Privately Held,Greater San Diego Area,Therapeutics,http://www.hemaquest.com,2007,"San Diego, California", 1-10,,Hemaquest
858-210-4100,    ,http://www.lajollabiologics.com/careers.html,Privately Held,Greater San Diego Area,Drug Development,http://www.lajollabiologics.com,,"San Diego, California",,,La Jolla Biologics
,,,,Greater San Diego Area,"Diagnostics,Research Products",http://lifetechnologies.com,2008,Acquired by Thermo Fisher 2013,5001-10000,,Life Technologies
866.258.3221,    ,,Privately Held,Greater San Diego Area,Research Products,http://kinovate.com,2004,"Oceanside, California", 1-10,,Kinovate Life Sciences
,    ,http://www.kfxmedical.com/career.htm,Privately Held,Greater San Diego Area,Medical Devices,http://www.kfxmedical.com,,"San Diego, California", 11-50,,KFx Medical
,    ,http://www.inovio.com/aboutus/career.htm,Public Company,Greater San Diego Area,"Therapeutics,Vaccine Development",http://www.inovio.com,1983,"Blue Bell, PA", 11-50,,Inovio Pharmaceuticals
(858) 964-5123,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.innovuspharma.com,2011,"La Jolla, California", 1-10,,Innovus Pharmaceuticals
,    ,,Public Company,Greater San Diego Area,Therapeutics,http://kyowa-kirin-ca.com,,Japan,,,Kyowa Hakko Kirin California
(866) 432-2437,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.disposablecages.com/,2004,"San Diego, California", 11-50,,Innovive Inc.
,    ,,Privately Held,Greater San Diego Area,Research Products,"http://www.innovativecelltech.com, http://www.phnxflow.com",1987,"San Diego, California", 1-10,,"Innovative Cell Technologies, Phoenix Flow Systems"
,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.innopep.com,,"San Diego, California",,,InnoPep
,    ,,,Greater San Diego Area,Diagnostics,http://www.innovaconinc.com,,"San Diego, California",51-200,,Innovacon Inc.
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.inceptionsci.com,,"San Diego, California", 11-50,,Inception Sciences
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.inhibrx.com,2010,"La Jolla, California", 1-10,,InhibRx
858 208 4400,We provide strategic planning services for IP as well as patent and trademark prosecution,,Privately Held, Southern California,Provider,http://www.gormaniplaw.com,2013,San Diego,1-10,,Gorman IP Law
,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.halozyme.com,,"San Diego, California",51-200,,Halozyme
 858.452.7655,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.gwrinstruments.com,1979,"San Diego, California", 1-10,,GWR Instruments
1-858-617-7402,    ,,,Greater San Diego Area,Drug Development,http://www.hamarichemicals.com,1948,"Osaka, Japan",,,Hamari Chemicals
,    ,,,Greater San Diego Area,Therapeutics,http://www.gnf.org/,1999,(Part of Novartis),501-1000,,GNF
,    ,,Privately Held,Greater San Diego Area,Drug Development,http://glycoregimmune.com,2009,"San Diego, California", 1-10,,Glycoregimmune
,    ,,Privately Held,Greater San Diego Area,Research Products,http://genwaybio.com,1998,"San Diego, California", 11-50,,Genway Bio
(858)678-8683,    ,,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://www.gentarget.com,2008,"San Diego, California", 1-10,,"GenTarget, Inc."
,    ,http://www.quidel.com/careers/,Public Company,Greater San Diego Area,Medical Devices,http://www.quidel.com,1979,"San Diego, California",501-1000,,Quidel
,    ,http://www.resmed.com/us/careers/careers.html?nc=careers,Public Company,Greater San Diego Area,Medical Devices,http://www.resmed.com,1989,"San Diego, California",1001-5000,,Resmed
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.renascions.com,,"San Diego, California", 1-10,,Renascions
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.renovaTherapeutics.com,,"San Diego, California",,,Renova Therapeutics
 (858) 875-2840,    ,,,Greater San Diego Area,Therapeutics,http://www.rempexpharma.com,,"San Diego, California", 11-50,,Rempex Pharmaceuticals
(858) 200-9530,    ,http://www.regenemed.com/Careers.html,Privately Held,Greater San Diego Area,Therapeutics,http://www.regenemed.com,2003,"San Diego, California",,,Regenemed
(858) 546-5800,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.scrippslabs.com/,1984,"San Diego, California", 11-50,,Scripps Laboratories
,    ,,Nonprofit,Greater San Diego Area,Research Institute,http://www.sanfordconsortium.org,2006,"La Jolla, California",,,Sanford Consortium for Regenerative Medicine
,    ,,Privately Held,Greater San Diego Area,Medical Products,http://www.siennalabs.com,,"San Diego, California", 1-10,,Sienna Labs
,    ,,public company,Greater San Diego Area,Therapeutics,http://www.sophirisbio.com,2012,"La Jolla, California", 1-10,,Sophiris
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.Therapeuticsinc.com,,"San Diego, California",,,Therapeutics Inc
760-707-5200,    ,,Privately Held,Greater San Diego Area,Green technology,http://www.verdezyne.com,2005,"Carlsbad, California",51-200,,Verdezyne
,    ,http://www.regulusrx.com/careers/,Public Company,Greater San Diego Area,Therapeutics,http://www.regulusrx.com,2007,"San Diego, California",51-200,,Regulus Therapeutics
(858) 273-2744,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.vbspharma.com,,"San Diego, California",,,VBS
,    ,,Nonprofit,Greater San Diego Area,Research Institute,http://www.westhealth.org,2009,"La Jolla, California",51-200,,West Health Institute
(858) 926-3197,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.vaxiion.com,2000,"San Diego, California",,,Vaxiion Therapeutics
,    ,http://www.trovagene.com/About-Us/Careers.aspx,Public Company,Greater San Diego Area,Diagnostics,http://www.trovagene.com,1999,"San Diego, California", 11-50,,Trovagene
,    ,http://www.zogenix.com/index.php/careers/,Public Company,Greater San Diego Area,Therapeutics,http://www.zogenix.com,2006,"San Diego, California",51-200,,Zogenix
,    ,,Nonprofit,Greater San Diego Area,Research Institute,http://cancer.ucsd.edu,1979,"La Jolla, California",,,UCSD Moores Cancer Center
858-546-0720 ,    ,http://zyagen.com/index.php?main_page=page&id=13,Privately Held,Greater San Diego Area,"Research Products,Research Services",http://zyagen.com,2000,"San Diego, California", 1-10,,Zyagen
(858) 490-9400,    ,,Privately Held,Greater San Diego Area,Medical Devices,http://www.synthasome.com,2003,"San Diego, California",,,Synthasome
,    ,http://www.syntheticgenomics.com/careers/,Privately Held,Greater San Diego Area,Green technology,http://www.syntheticgenomics.com,2005,"San Diego, California",51-200,,Synthetic Genomics
(858) 622-8528,    ,,Public Company,Greater San Diego Area,Therapeutics,http://takedacalifornia.com/,1998,Japan,51-200,,Takeda San Diego
,    ,http://www.sunevamedical.com/careers/,Privately Held,Greater San Diego Area,Medical Devices,http://www.sunevamedical.com,,"San Diego, California",51-200,,Suneva Medical
 858-382-0522,    ,http://www.sundia.com/career/apply.asp,Public Company,Greater San Diego Area,Research Services,http://www.sundia.com,2004,China,501-1000,,Sundia
8586580910,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.stemedica.com,2005,"San Diego, California",,,Stemedica
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://www.sovapharma.com,2010,"La Jolla, California", 1-10,,Sova Pharma
 858-847-0200,    ,,Public Company,Greater San Diego Area,Diagnostics,http://www.spectrascience.com,,"San Diego, California",,,Spectra Science
,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://zephyruspharma.com,2011,"San Diego, California", 1-10,,Zephyrus Pharma
,    ,http://www.synteracthcr.com/Careers/Job-Search-USA,Privately Held,Greater San Diego Area,Drug Development,http://www.synteracthcr.com,1995,"Carlsbad, California",501-1000,,SynteractHCR
,    ,,(Acquired by Cubist),Greater San Diego Area,Therapeutics,http://www.triusrx.com,2004,Massachusetts,51-200,,Trius Therapeutics
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.tristantech.com,1991,"San Diego, California",,,"Tristan Technologies, Inc."
,    ,,Privately Held,Greater San Diego Area,"Therapeutics,Veterinary Science",http://www.tritonai.com/,2013,"San Diego, California",,,"Triton Algae Innovations, Inc."
,    ,http://sorrentotherapeutics.com/careers/,Public Company,Greater San Diego Area,Therapeutics,http://www.sorrentoTherapeutics.com,,"San Diego, California", 11-50,,Sorrento Therapeutics
,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.tonbobio.com,2011,"San Diego, California", 11-50,,Tonbo Biosciences
(760) 208-6900,    ,http://www.tragarapharma.com/careers.htm,Privately Held,Greater San Diego Area,Therapeutics,http://www.tragarapharma.com/,2007,"Carlsbad, California", 1-10,,Tragara Pharmaceuticals
,    ,http://www.traconpharma.com/careers.php,,Greater San Diego Area,Therapeutics,http://www.traconpharma.com,,"San Diego, California", 1-10,,TRACON Pharmaceuticals
(858) 259-3950,    ,http://www.tocagen.com/careers/,Privately Held,Greater San Diego Area,Therapeutics,http://www.tocagen.com/,,"San Diego, California", 11-50,,Tocagen
800.930.9222,    ,,Privately Held,Greater San Diego Area,Drug Development,http://www.validation.org,1996,"San Diego, California",51-200,,"Validation Technologies, Inc."
,    ,,Privately Held,Greater San Diego Area,Clinical Services,http://vpointlabs.com,,"San Diego, California",,,Vantage Point Laboratory Partners
858.461.6861,    ,http://www.valasciences.com/about/careers/,Privately Held,Greater San Diego Area,"Research Products,Research Services,Software",http://www.valasciences.com,2004,"San Diego, California", 11-50,,Vala Sciences
,    ,,Privately Held,Greater San Diego Area,Research Institute,http://www.vrisd.org,2000,"San Diego, California",,,Vaccine Research Institute of San Diego
(858) 622-9538,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.valuegene.com/,2005,"San Diego, California", 11-50,,ValueGene Inc.
(858) 677 9297,    ,,Privately Held,Greater San Diego Area,Research Services,http://www.ultimatelab.com,2008,"San Diego, California", 11-50,,Ultimate Labs
(800) 455-0644,    ,,Privately Held,Greater San Diego Area,Research Products,http://www.vp-scientific.com,,"San Diego, California", 11-50,,V&P Scientific
,    ,,Privately Held,Greater San Diego Area,Biotechnology,http://www.tiogaresearch.com,2011,"San Diego, California", 11-50,,Tioga Research
,    ,http://www.wellspringbiosciences.com/careers.php,Privately Held,Greater San Diego Area,Therapeutics,http://www.wellspringbiosciences.com,2012,"San Diego, California", 11-50,,Wellspring Biosciences
(858) 673-6840,    ,,Privately Held,Greater San Diego Area,Therapeutics,http://vitaltherapies.com,,"San Diego, California", 11-50,,Vital Therapies Inc.
,    ,,Public Company,Greater San Diego Area,Medical Devices,http://www.volcanocorp.com,,"San Diego, California",501-1000,,Volcano Corporation
(760) 438-0230,,http://www.vistabiologicals.com/Careers.htm,Privately Held,Greater San Diego Area,"Drug Development,Research Services",http://www.vistabiologicals.com/,1981,"Vista, California",,,Vista Biologicals
,    ,,Public Company,Greater San Diego Area,Therapeutics,http://www.vical.com,1997,"San Diego, California",51-200,,Vical
